loop1,1,auto,1.642314,-343021.474766
loop2,1,auto,8.666217,-25242644.603147
loop1,2,auto,0.861193,-343021.474766
loop2,2,auto,6.253841,-25242644.603147
loop1,4,auto,0.458766,-343021.474766
loop2,4,auto,5.448927,-25242644.603147
loop1,6,auto,0.316356,-343021.474766
loop2,6,auto,4.789423,-25242644.603147
loop1,8,auto,0.219082,-343021.474766
loop2,8,auto,4.395204,-25242644.603147
loop1,12,auto,0.168402,-343021.474766
loop2,12,auto,3.874961,-25242644.603147
loop1,16,auto,0.157683,-343021.474766
loop2,16,auto,2.844416,-25242644.603147
loop1,1,dynamic-16,1.642620,-343021.474766
loop2,1,dynamic-16,8.658929,-25242644.603147
loop1,2,dynamic-16,0.839398,-343021.474766
loop2,2,dynamic-16,4.396247,-25242644.603147
loop1,4,dynamic-16,0.477784,-343021.474766
loop2,4,dynamic-16,2.204553,-25242644.603147
loop1,6,dynamic-16,0.336356,-343021.474766
loop2,6,dynamic-16,2.071167,-25242644.603147
loop1,8,dynamic-16,0.218507,-343021.474766
loop2,8,dynamic-16,2.069055,-25242644.603147
loop1,12,dynamic-16,0.216927,-343021.474766
loop2,12,dynamic-16,2.102195,-25242644.603147
loop1,16,dynamic-16,0.134015,-343021.474766
loop2,16,dynamic-16,2.069870,-25242644.603147
loop1,1,dynamic-1,1.683503,-343021.474766
loop2,1,dynamic-1,8.694502,-25242644.603147
loop1,2,dynamic-1,0.952516,-343021.474766
loop2,2,dynamic-1,4.481681,-25242644.603147
loop1,4,dynamic-1,0.456158,-343021.474766
loop2,4,dynamic-1,2.690032,-25242644.603147
loop1,6,dynamic-1,0.322650,-343021.474766
loop2,6,dynamic-1,2.033014,-25242644.603147
loop1,8,dynamic-1,0.244704,-343021.474766
loop2,8,dynamic-1,1.653657,-25242644.603147
loop1,12,dynamic-1,0.169331,-343021.474766
loop2,12,dynamic-1,1.310858,-25242644.603147
loop1,16,dynamic-1,0.133468,-343021.474766
loop2,16,dynamic-1,0.904420,-25242644.603147
loop1,1,dynamic-2,1.643145,-343021.474766
loop2,1,dynamic-2,8.658850,-25242644.603147
loop1,2,dynamic-2,0.912663,-343021.474766
loop2,2,dynamic-2,4.442864,-25242644.603147
loop1,4,dynamic-2,0.441149,-343021.474766
loop2,4,dynamic-2,2.460461,-25242644.603147
loop1,6,dynamic-2,0.309282,-343021.474766
loop2,6,dynamic-2,1.708363,-25242644.603147
loop1,8,dynamic-2,0.261968,-343021.474766
loop2,8,dynamic-2,1.367460,-25242644.603147
loop1,12,dynamic-2,0.174539,-343021.474766
loop2,12,dynamic-2,0.989912,-25242644.603147
loop1,16,dynamic-2,0.128396,-343021.474766
loop2,16,dynamic-2,0.869794,-25242644.603147
loop1,1,dynamic-32,1.680951,-343021.474766
loop2,1,dynamic-32,8.654831,-25242644.603147
loop1,2,dynamic-32,0.828357,-343021.474766
loop2,2,dynamic-32,4.394600,-25242644.603147
loop1,4,dynamic-32,0.421509,-343021.474766
loop2,4,dynamic-32,3.882653,-25242644.603147
loop1,6,dynamic-32,0.288952,-343021.474766
loop2,6,dynamic-32,3.879284,-25242644.603147
loop1,8,dynamic-32,0.235967,-343021.474766
loop2,8,dynamic-32,3.882040,-25242644.603147
loop1,12,dynamic-32,0.189187,-343021.474766
loop2,12,dynamic-32,3.879644,-25242644.603147
loop1,16,dynamic-32,0.187933,-343021.474766
loop2,16,dynamic-32,3.881170,-25242644.603147
loop1,1,dynamic-4,1.644044,-343021.474766
loop2,1,dynamic-4,8.660400,-25242644.603147
loop1,2,dynamic-4,0.863530,-343021.474766
loop2,2,dynamic-4,4.402523,-25242644.603147
loop1,4,dynamic-4,0.429206,-343021.474766
loop2,4,dynamic-4,2.227137,-25242644.603147
loop1,6,dynamic-4,0.289770,-343021.474766
loop2,6,dynamic-4,1.637640,-25242644.603147
loop1,8,dynamic-4,0.262912,-343021.474766
loop2,8,dynamic-4,1.333078,-25242644.603147
loop1,12,dynamic-4,0.202889,-343021.474766
loop2,12,dynamic-4,0.904795,-25242644.603147
loop1,16,dynamic-4,0.158958,-343021.474766
loop2,16,dynamic-4,0.790148,-25242644.603147
loop1,1,dynamic-64,1.643687,-343021.474766
loop2,1,dynamic-64,8.658072,-25242644.603147
loop1,2,dynamic-64,0.832141,-343021.474766
loop2,2,dynamic-64,4.911696,-25242644.603147
loop1,4,dynamic-64,0.452245,-343021.474766
loop2,4,dynamic-64,4.907850,-25242644.603147
loop1,6,dynamic-64,0.318677,-343021.474766
loop2,6,dynamic-64,4.930939,-25242644.603147
loop1,8,dynamic-64,0.299514,-343021.474766
loop2,8,dynamic-64,4.914204,-25242644.603147
loop1,12,dynamic-64,0.295875,-343021.474766
loop2,12,dynamic-64,4.915265,-25242644.603147
loop1,16,dynamic-64,0.335717,-343021.474766
loop2,16,dynamic-64,4.912351,-25242644.603147
loop1,1,dynamic-8,1.684259,-343021.474766
loop2,1,dynamic-8,8.652790,-25242644.603147
loop1,2,dynamic-8,0.878183,-343021.474766
loop2,2,dynamic-8,4.413725,-25242644.603147
loop1,4,dynamic-8,0.459644,-343021.474766
loop2,4,dynamic-8,2.226228,-25242644.603147
loop1,6,dynamic-8,0.308153,-343021.474766
loop2,6,dynamic-8,1.555698,-25242644.603147
loop1,8,dynamic-8,0.230143,-343021.474766
loop2,8,dynamic-8,1.171351,-25242644.603147
loop1,12,dynamic-8,0.184315,-343021.474766
loop2,12,dynamic-8,1.040282,-25242644.603147
loop1,16,dynamic-8,0.116890,-343021.474766
loop2,16,dynamic-8,1.039340,-25242644.603147
loop1,1,guided-16,1.642475,-343021.474766
loop2,1,guided-16,8.661552,-25242644.603147
loop1,2,guided-16,0.824481,-343021.474766
loop2,2,guided-16,6.202435,-25242644.603147
loop1,4,guided-16,0.419372,-343021.474766
loop2,4,guided-16,5.431257,-25242644.603147
loop1,6,guided-16,0.332614,-343021.474766
loop2,6,guided-16,4.784746,-25242644.603147
loop1,8,guided-16,0.240644,-343021.474766
loop2,8,guided-16,4.401692,-25242644.603147
loop1,12,guided-16,0.173656,-343021.474766
loop2,12,guided-16,3.880679,-25242644.603147
loop1,16,guided-16,0.149309,-343021.474766
loop2,16,guided-16,2.845822,-25242644.603147
loop1,1,guided-1,1.642287,-343021.474766
loop2,1,guided-1,8.661948,-25242644.603147
loop1,2,guided-1,0.826954,-343021.474766
loop2,2,guided-1,6.202051,-25242644.603147
loop1,4,guided-1,0.455928,-343021.474766
loop2,4,guided-1,5.458436,-25242644.603147
loop1,6,guided-1,0.289130,-343021.474766
loop2,6,guided-1,4.784227,-25242644.603147
loop1,8,guided-1,0.248530,-343021.474766
loop2,8,guided-1,4.415430,-25242644.603147
loop1,12,guided-1,0.204668,-343021.474766
loop2,12,guided-1,3.897089,-25242644.603147
loop1,16,guided-1,0.127362,-343021.474766
loop2,16,guided-1,2.846192,-25242644.603147
loop1,1,guided-2,1.642637,-343021.474766
loop2,1,guided-2,8.658579,-25242644.603147
loop1,2,guided-2,0.864053,-343021.474766
loop2,2,guided-2,6.245433,-25242644.603147
loop1,4,guided-2,0.418584,-343021.474766
loop2,4,guided-2,5.427863,-25242644.603147
loop1,6,guided-2,0.286558,-343021.474766
loop2,6,guided-2,4.786647,-25242644.603147
loop1,8,guided-2,0.250312,-343021.474766
loop2,8,guided-2,4.412339,-25242644.603147
loop1,12,guided-2,0.212187,-343021.474766
loop2,12,guided-2,3.913262,-25242644.603147
loop1,16,guided-2,0.162622,-343021.474766
loop2,16,guided-2,2.845787,-25242644.603147
loop1,1,guided-32,1.682201,-343021.474766
loop2,1,guided-32,8.718114,-25242644.603147
loop1,2,guided-32,0.825656,-343021.474766
loop2,2,guided-32,6.200696,-25242644.603147
loop1,4,guided-32,0.423706,-343021.474766
loop2,4,guided-32,5.429012,-25242644.603147
loop1,6,guided-32,0.314506,-343021.474766
loop2,6,guided-32,4.784144,-25242644.603147
loop1,8,guided-32,0.225745,-343021.474766
loop2,8,guided-32,4.394420,-25242644.603147
loop1,12,guided-32,0.184931,-343021.474766
loop2,12,guided-32,3.886466,-25242644.603147
loop1,16,guided-32,0.151434,-343021.474766
loop2,16,guided-32,3.880353,-25242644.603147
loop1,1,guided-4,1.642708,-343021.474766
loop2,1,guided-4,8.659685,-25242644.603147
loop1,2,guided-4,0.826104,-343021.474766
loop2,2,guided-4,6.201431,-25242644.603147
loop1,4,guided-4,0.458576,-343021.474766
