loop,thread_num,schedule,time,value
loop2,4,guided-4,5.468536,-25242644.603147
loop1,4,guided-64,0.497385,-343021.474766
loop2,4,guided-64,5.454835,-25242644.603147
loop1,4,guided-8,0.474177,-343021.474766
loop2,4,guided-8,5.445136,-25242644.603147
loop1,4,static,0.787112,-343021.474766
loop2,4,static,6.255126,-25242644.603147
loop1,4,static-1,0.538564,-343021.474766
loop2,4,static-1,4.038080,-25242644.603147
loop1,4,static-16,0.542190,-343021.474766
loop2,4,static-16,3.121561,-25242644.603147
loop1,4,static-2,0.572977,-343021.474766
loop2,4,static-2,2.692553,-25242644.603147
loop1,4,static-32,0.492933,-343021.474766
loop2,4,static-32,4.794856,-25242644.603147
loop1,4,static-4,0.619299,-343021.474766
loop2,4,static-4,2.423974,-25242644.603147
loop1,4,static-64,0.540590,-343021.474766
loop2,4,static-64,5.441602,-25242644.603147
loop1,4,static-8,0.434965,-343021.474766
loop2,4,static-8,2.344971,-25242644.603147
loop1,6,auto,0.337337,-343021.474766
loop2,6,auto,4.853746,-25242644.603147
loop1,6,dynamic-1,0.337187,-343021.474766
loop2,6,dynamic-1,2.032673,-25242644.603147
loop1,6,dynamic-16,0.316864,-343021.474766
loop2,6,dynamic-16,2.092170,-25242644.603147
loop1,6,dynamic-2,0.323775,-343021.474766
loop2,6,dynamic-2,1.868026,-25242644.603147
loop1,6,dynamic-32,0.303634,-343021.474766
loop2,6,dynamic-32,3.911857,-25242644.603147
loop1,6,dynamic-4,0.305401,-343021.474766
loop2,6,dynamic-4,1.684733,-25242644.603147
loop1,6,dynamic-64,0.333560,-343021.474766
loop2,6,dynamic-64,4.958336,-25242644.603147
loop1,6,dynamic-8,0.334103,-343021.474766
loop2,6,dynamic-8,1.594383,-25242644.603147
loop1,6,guided-1,0.326394,-343021.474766
loop2,6,guided-1,4.813997,-25242644.603147
loop1,6,guided-16,0.322976,-343021.474766
loop2,6,guided-16,4.813001,-25242644.603147
loop1,6,guided-2,0.313862,-343021.474766
loop2,6,guided-2,4.830178,-25242644.603147
loop1,6,guided-32,0.327088,-343021.474766
loop2,6,guided-32,4.844984,-25242644.603147
loop1,6,guided-4,0.310743,-343021.474766
loop2,6,guided-4,4.812166,-25242644.603147
loop1,6,guided-64,0.339698,-343021.474766
loop2,6,guided-64,4.974050,-25242644.603147
loop1,6,guided-8,0.310647,-343021.474766
loop2,6,guided-8,4.831022,-25242644.603147
loop1,6,static,0.589117,-343021.474766
loop2,6,static,5.732562,-25242644.603147
loop1,6,static-1,0.435336,-343021.474766
loop2,6,static-1,4.093839,-25242644.603147
loop1,6,static-16,0.360158,-343021.474766
loop2,6,static-16,2.596246,-25242644.603147
loop1,6,static-2,0.501290,-343021.474766
loop2,6,static-2,3.009124,-25242644.603147
loop1,6,static-32,0.352689,-343021.474766
loop2,6,static-32,4.406807,-25242644.603147
loop1,6,static-4,0.378655,-343021.474766
loop2,6,static-4,2.004707,-25242644.603147
loop1,6,static-64,0.418522,-343021.474766
loop2,6,static-64,5.186234,-25242644.603147
loop1,6,static-8,0.388690,-343021.474766
loop2,6,static-8,2.006693,-25242644.603147
loop1,8,auto,0.268823,-343021.474766
loop2,8,auto,4.465203,-25242644.603147
loop1,8,dynamic-1,0.264265,-343021.474766
loop2,8,dynamic-1,1.632965,-25242644.603147
loop1,8,dynamic-16,0.243156,-343021.474766
loop2,8,dynamic-16,2.080536,-25242644.603147
loop1,8,dynamic-2,0.248324,-343021.474766
loop2,8,dynamic-2,1.378669,-25242644.603147
loop1,8,dynamic-32,0.260332,-343021.474766
loop2,8,dynamic-32,3.897083,-25242644.603147
loop1,8,dynamic-4,0.235378,-343021.474766
loop2,8,dynamic-4,1.291759,-25242644.603147
loop1,8,dynamic-64,0.297633,-343021.474766
loop2,8,dynamic-64,4.923799,-25242644.603147
loop1,8,dynamic-8,0.234197,-343021.474766
loop2,8,dynamic-8,1.187362,-25242644.603147
loop1,8,guided-1,0.244164,-343021.474766
loop2,8,guided-1,4.413745,-25242644.603147
loop1,8,guided-16,0.265935,-343021.474766
loop2,8,guided-16,4.434536,-25242644.603147
loop1,8,guided-2,0.262001,-343021.474766
loop2,8,guided-2,4.441574,-25242644.603147
loop1,8,guided-32,0.260304,-343021.474766
loop2,8,guided-32,4.418785,-25242644.603147
loop1,8,guided-4,0.290914,-343021.474766
loop2,8,guided-4,4.469686,-25242644.603147
loop1,8,guided-64,0.301634,-343021.474766
loop2,8,guided-64,4.925588,-25242644.603147
loop1,8,guided-8,0.243738,-343021.474766
loop2,8,guided-8,4.418668,-25242644.603147
loop1,8,static,0.474009,-343021.474766
loop2,8,static,5.477646,-25242644.603147
loop1,8,static-1,0.298604,-343021.474766
loop2,8,static-1,2.222918,-25242644.603147
loop1,8,static-16,0.264034,-343021.474766
loop2,8,static-16,2.595395,-25242644.603147
loop1,8,static-2,0.334538,-343021.474766
loop2,8,static-2,1.732463,-25242644.603147
loop1,8,static-32,0.369949,-343021.474766
loop2,8,static-32,4.149850,-25242644.603147
loop1,8,static-4,0.333220,-343021.474766
loop2,8,static-4,1.491054,-25242644.603147
loop1,8,static-64,0.367153,-343021.474766
loop2,8,static-64,5.183022,-25242644.603147
loop1,8,static-8,0.384548,-343021.474766
loop2,8,static-8,1.658464,-25242644.603147
loop1,12,auto,0.177999,-343021.474766
loop2,12,auto,3.921924,-25242644.603147
loop1,12,dynamic-1,0.168869,-343021.474766
loop2,12,dynamic-1,1.241837,-25242644.603147
loop1,12,dynamic-16,0.173814,-343021.474766
loop2,12,dynamic-16,2.085759,-25242644.603147
loop1,12,dynamic-2,0.168666,-343021.474766
loop2,12,dynamic-2,1.038949,-25242644.603147
loop1,12,dynamic-32,0.195605,-343021.474766
loop2,12,dynamic-32,3.914303,-25242644.603147
loop1,12,dynamic-4,0.160798,-343021.474766
loop2,12,dynamic-4,0.903096,-25242644.603147
loop1,12,dynamic-64,0.307614,-343021.474766
loop2,12,dynamic-64,4.930756,-25242644.603147
loop1,12,dynamic-8,0.178005,-343021.474766
loop2,12,dynamic-8,1.120182,-25242644.603147
loop1,12,guided-1,0.180675,-343021.474766
loop2,12,guided-1,3.914345,-25242644.603147
loop1,12,guided-16,0.166040,-343021.474766
loop2,12,guided-16,3.899670,-25242644.603147
loop1,12,guided-2,0.200191,-343021.474766
loop2,12,guided-2,3.897728,-25242644.603147
loop1,12,guided-32,0.197400,-343021.474766
loop2,12,guided-32,3.890828,-25242644.603147
loop1,12,guided-4,0.188023,-343021.474766
loop2,12,guided-4,3.915627,-25242644.603147
loop1,12,guided-64,0.337692,-343021.474766
loop2,12,guided-64,4.941666,-25242644.603147
loop1,12,guided-8,0.185866,-343021.474766
loop2,12,guided-8,3.914345,-25242644.603147
loop1,12,static,0.313869,-343021.474766
loop2,12,static,4.824651,-25242644.603147
loop1,12,static-1,0.257913,-343021.474766
loop2,12,static-1,2.552362,-25242644.603147
loop1,12,static-16,0.187599,-343021.474766
loop2,12,static-16,2.207956,-25242644.603147
loop1,12,static-2,0.237138,-343021.474766
loop2,12,static-2,1.784339,-25242644.603147
loop1,12,static-32,0.263413,-343021.474766
loop2,12,static-32,4.018709,-25242644.603147
loop1,12,static-4,0.234833,-343021.474766
loop2,12,static-4,1.310609,-25242644.603147
loop1,12,static-64,0.287654,-343021.474766
loop2,12,static-64,4.925175,-25242644.603147
loop1,12,static-8,0.266285,-343021.474766
loop2,12,static-8,1.619616,-25242644.603147
loop1,16,auto,0.140276,-343021.474766
loop2,16,auto,2.863530,-25242644.603147
loop1,16,dynamic-1,0.145107,-343021.474766
loop2,16,dynamic-1,1.060113,-25242644.603147
loop1,16,dynamic-16,0.135162,-343021.474766
loop2,16,dynamic-16,2.084019,-25242644.603147
loop1,16,dynamic-2,0.136201,-343021.474766
loop2,16,dynamic-2,0.797357,-25242644.603147
loop1,16,dynamic-32,0.180265,-343021.474766
loop2,16,dynamic-32,3.899663,-25242644.603147
loop1,16,dynamic-4,0.143546,-343021.474766
loop2,16,dynamic-4,0.758680,-25242644.603147
loop1,16,dynamic-64,0.305569,-343021.474766
loop2,16,dynamic-64,4.938553,-25242644.603147
