loop,thread_num,schedule,time,value
loop2,4,guided-4,5.498753,-25242644.603147
loop1,4,guided-64,0.495679,-343021.474766
loop2,4,guided-64,5.513712,-25242644.603147
loop1,4,guided-8,0.579973,-343021.474766
loop2,4,guided-8,5.497931,-25242644.603147
loop1,4,static,0.724156,-343021.474766
loop2,4,static,6.214038,-25242644.603147
loop1,4,static-1,0.549553,-343021.474766
loop2,4,static-1,4.138243,-25242644.603147
loop1,4,static-16,0.529206,-343021.474766
loop2,4,static-16,3.115961,-25242644.603147
loop1,4,static-2,0.459143,-343021.474766
loop2,4,static-2,2.961705,-25242644.603147
loop1,4,static-32,0.529740,-343021.474766
loop2,4,static-32,4.794239,-25242644.603147
loop1,4,static-4,0.571148,-343021.474766
loop2,4,static-4,2.618426,-25242644.603147
loop1,4,static-64,0.529293,-343021.474766
loop2,4,static-64,5.440751,-25242644.603147
loop1,4,static-8,0.521639,-343021.474766
loop2,4,static-8,2.345277,-25242644.603147
loop1,6,auto,0.340026,-343021.474766
loop2,6,auto,4.802171,-25242644.603147
loop1,6,dynamic-1,0.364089,-343021.474766
loop2,6,dynamic-1,2.083627,-25242644.603147
loop1,6,dynamic-16,0.310218,-343021.474766
loop2,6,dynamic-16,2.097494,-25242644.603147
loop1,6,dynamic-2,0.312589,-343021.474766
loop2,6,dynamic-2,1.960871,-25242644.603147
loop1,6,dynamic-32,0.342571,-343021.474766
loop2,6,dynamic-32,3.930906,-25242644.603147
loop1,6,dynamic-4,0.344332,-343021.474766
loop2,6,dynamic-4,1.720623,-25242644.603147
loop1,6,dynamic-64,0.332851,-343021.474766
loop2,6,dynamic-64,4.953534,-25242644.603147
loop1,6,dynamic-8,0.321336,-343021.474766
loop2,6,dynamic-8,1.561305,-25242644.603147
loop1,6,guided-1,0.348377,-343021.474766
loop2,6,guided-1,4.809259,-25242644.603147
loop1,6,guided-16,0.355211,-343021.474766
loop2,6,guided-16,4.845079,-25242644.603147
loop1,6,guided-2,0.327733,-343021.474766
loop2,6,guided-2,4.831599,-25242644.603147
loop1,6,guided-32,0.357313,-343021.474766
loop2,6,guided-32,4.833755,-25242644.603147
loop1,6,guided-4,0.378846,-343021.474766
loop2,6,guided-4,4.863753,-25242644.603147
loop1,6,guided-64,0.381111,-343021.474766
loop2,6,guided-64,4.962688,-25242644.603147
loop1,6,guided-8,0.323798,-343021.474766
loop2,6,guided-8,4.832163,-25242644.603147
loop1,6,static,0.506749,-343021.474766
loop2,6,static,5.697140,-25242644.603147
loop1,6,static-1,0.385471,-343021.474766
loop2,6,static-1,4.244899,-25242644.603147
loop1,6,static-16,0.436671,-343021.474766
loop2,6,static-16,3.045415,-25242644.603147
loop1,6,static-2,0.371780,-343021.474766
loop2,6,static-2,3.491461,-25242644.603147
loop1,6,static-32,0.420672,-343021.474766
loop2,6,static-32,4.408765,-25242644.603147
loop1,6,static-4,0.392045,-343021.474766
loop2,6,static-4,1.985185,-25242644.603147
loop1,6,static-64,0.429748,-343021.474766
loop2,6,static-64,5.181533,-25242644.603147
loop1,6,static-8,0.405528,-343021.474766
loop2,6,static-8,1.955638,-25242644.603147
loop1,8,auto,0.261283,-343021.474766
loop2,8,auto,4.421978,-25242644.603147
loop1,8,dynamic-1,0.264860,-343021.474766
loop2,8,dynamic-1,1.771515,-25242644.603147
loop1,8,dynamic-16,0.241743,-343021.474766
loop2,8,dynamic-16,2.144649,-25242644.603147
loop1,8,dynamic-2,0.246774,-343021.474766
loop2,8,dynamic-2,1.446234,-25242644.603147
loop1,8,dynamic-32,0.284026,-343021.474766
loop2,8,dynamic-32,3.945778,-25242644.603147
loop1,8,dynamic-4,0.280003,-343021.474766
loop2,8,dynamic-4,1.281101,-25242644.603147
loop1,8,dynamic-64,0.350213,-343021.474766
loop2,8,dynamic-64,4.992392,-25242644.603147
loop1,8,dynamic-8,0.252098,-343021.474766
loop2,8,dynamic-8,1.233659,-25242644.603147
loop1,8,guided-1,0.271118,-343021.474766
loop2,8,guided-1,4.459973,-25242644.603147
loop1,8,guided-16,0.260806,-343021.474766
loop2,8,guided-16,4.469507,-25242644.603147
loop1,8,guided-2,0.255319,-343021.474766
loop2,8,guided-2,4.427665,-25242644.603147
loop1,8,guided-32,0.263310,-343021.474766
loop2,8,guided-32,4.439986,-25242644.603147
loop1,8,guided-4,0.237756,-343021.474766
loop2,8,guided-4,4.436108,-25242644.603147
loop1,8,guided-64,0.298936,-343021.474766
loop2,8,guided-64,4.968518,-25242644.603147
loop1,8,guided-8,0.258722,-343021.474766
loop2,8,guided-8,4.456891,-25242644.603147
loop1,8,static,0.511352,-343021.474766
loop2,8,static,5.438090,-25242644.603147
loop1,8,static-1,0.344344,-343021.474766
loop2,8,static-1,2.350599,-25242644.603147
loop1,8,static-16,0.371611,-343021.474766
loop2,8,static-16,2.594688,-25242644.603147
loop1,8,static-2,0.329040,-343021.474766
loop2,8,static-2,1.849435,-25242644.603147
loop1,8,static-32,0.376068,-343021.474766
loop2,8,static-32,4.147708,-25242644.603147
loop1,8,static-4,0.329890,-343021.474766
loop2,8,static-4,1.505819,-25242644.603147
loop1,8,static-64,0.414469,-343021.474766
loop2,8,static-64,5.181570,-25242644.603147
loop1,8,static-8,0.365983,-343021.474766
loop2,8,static-8,1.780635,-25242644.603147
loop1,12,auto,0.185655,-343021.474766
loop2,12,auto,3.898292,-25242644.603147
loop1,12,dynamic-1,0.178972,-343021.474766
loop2,12,dynamic-1,1.393581,-25242644.603147
loop1,12,dynamic-16,0.178688,-343021.474766
loop2,12,dynamic-16,2.084589,-25242644.603147
loop1,12,dynamic-2,0.174327,-343021.474766
loop2,12,dynamic-2,1.013496,-25242644.603147
loop1,12,dynamic-32,0.193077,-343021.474766
loop2,12,dynamic-32,3.902713,-25242644.603147
loop1,12,dynamic-4,0.175169,-343021.474766
loop2,12,dynamic-4,0.930774,-25242644.603147
loop1,12,dynamic-64,0.302207,-343021.474766
loop2,12,dynamic-64,4.947333,-25242644.603147
loop1,12,dynamic-8,0.171172,-343021.474766
